code,user,repo,branch,stars,description
datopian-ckanext-noanonaccess,datopian,ckanext-noanonaccess,master,6,Disable anonymous access to CKAN by redirecting users to login page.
okfn-ckanext-rdf,okfn,ckanext-rdf,master,6,[DEPRECATED] - Please use https://github.com/ckan/ckanext-dcat
keitaroinc-ckanext-knowledgehub,keitaroinc,ckanext-knowledgehub,master,6,
NaturalHistoryMuseum-ckanext-datasolr,NaturalHistoryMuseum,ckanext-datasolr,master,6,datasolr is a Ckan extension to use Solr for datastore queries
okfn-ckanext-vegaview,okfn,ckanext-vegaview,master,6,VegaJS' view extension for CKAN
NuCivic-ckanext-cmap,NuCivic,ckanext-cmap,master,6,
open-data-ckanext-repeating,open-data,ckanext-repeating,master,5,Repeating fields for CKAN: obsoleted by ckanext-scheming 2.1 multiple_text fields
cmuphillycapstone-ckanext-dictionary,cmuphillycapstone,ckanext-dictionary,master,5,
EnviDat-ckanext-composite,EnviDat,ckanext-composite,master,5,Extension for structured metadata fields based on ckanext-scheming and ckanext-repeating
ngds-ckanext-ngds-bku03232018,ngds,ckanext-ngds-bku03232018,master,5,CKAN extension for NGDS-specific customizations
datopian-ckanext-requestdata,datopian,ckanext-requestdata,master,5,:email: :mailbox_with_mail: CKAN extension for requesting new data :email: :mailbox_with_mail:
ckan-ckanext-viewhelpers,ckan,ckanext-viewhelpers,master,5,Helpers for creating views for CKAN
okfn-ckanext-mx,okfn,ckanext-mx,master,5,Theme for datos.gob.mx
datopian-ckanext-orgportals,datopian,ckanext-orgportals,master,5,A CKAN extension for creating organization portals
alphagov-ckanext-datagovuk,alphagov,ckanext-datagovuk,main,5,CKAN extension for data.gov.uk
datopian-ckanext-c3charts,datopian,ckanext-c3charts,master,5,c3js based charts for CKAN
ngds-ckanext-geoserver-bku03232018,ngds,ckanext-geoserver-bku03232018,master,5,
ongov-ckanext-ontario_theme,ongov,ckanext-ontario_theme,main,5,Theme for Ontario's CKAN based data catalogues.
datagovau-ckanext-zippreview,datagovau,ckanext-zippreview,master,5,"Preview contents of ZIP files, even if they are hosted on external sites"
datopian-ckanext-datapub,datopian,ckanext-datapub,master,5,CKAN extension to integrate your custom DataPub.js based dataset and resource editor
georgepm-ckanext-sparql,georgepm,ckanext-sparql,master,5,SPARQL Interface for Ckan
etri-odp-ckanext-resourceauthorizer,etri-odp,ckanext-resourceauthorizer,master,5,Resource authorizing extension for CKAN
okfn-ckanext-ecportal,okfn,ckanext-ecportal,master,5,CKAN extension for the European Union Open Data Portal
NaturalHistoryMuseum-ckanext-ckanpackager,NaturalHistoryMuseum,ckanext-ckanpackager,main,5,A CKAN extension that provides a user interface to download resources with ckanpackager.
kata-csc-ckanext-shibboleth,kata-csc,ckanext-shibboleth,master,5,CKAN shibboleth identification plugin
AjuntamentdeBarcelona-ckanext-federagobes,AjuntamentdeBarcelona,ckanext-federagobes,master,5,
datopian-ckanext-validation,datopian,ckanext-validation,master,5,
bopen-ckanext-mapsearch,bopen,ckanext-mapsearch,master,5,A CKAN extension to add an scale-aware map-centred search
okfn-ckanext-datacatalogs,okfn,ckanext-datacatalogs,master,5,CKAN datacatalogs.org theme
